id,name,species,breed,birth_date,adoption_center_id,image_url
95f59af3-678e-448a-846a-c3130c58fe17,Amancio,Rabbit,Mini Rex,2022-08-10,85,https://placedog.net/500/400?id=0
a9bbe176-b541-4fce-b478-e7b920a9ef48,Isabel,Rabbit,Dutch,2016-02-05,82,https://placedog.net/500/400?id=1
cc414b6e-086c-4d32-83f4-be44641264ff,Amarilis,Rabbit,Mini Rex,2015-12-24,165,https://placedog.net/500/400?id=2
a8257298-7f65-4b90-9650-d299346e8dac,Leoncio,Rabbit,Rex,2020-09-02,92,https://placedog.net/500/400?id=3
0602a6b3-7676-4e09-abb8-f5d2224b68c4,Ágata,Bird,Canary,2014-01-22,75,https://placedog.net/500/400?id=4
7b7b4b44-3f05-45f5-beee-618331551fca,Paulina,Bird,Parrot,2017-06-17,64,https://placedog.net/500/400?id=5
0f6e07cf-63a7-4b3f-9543-f7badb191b7f,Rolando,Rabbit,Lionhead,2015-08-04,59,https://placedog.net/500/400?id=6
9d657b63-b4fd-4124-8799-9e1669284976,Jordán,Rabbit,Dutch,2022-03-10,140,https://placedog.net/500/400?id=7
3d15e2fc-c955-4d38-beed-8395b698e957,Pastora,Bird,Cockatiel,2020-02-10,117,https://placedog.net/500/400?id=8
024f8ccf-1c27-467b-9935-7a726dee8b72,Salomón,Bird,Cockatiel,2011-08-16,85,https://placedog.net/500/400?id=9
89903b84-05a1-4c8d-93c3-c67c5f5e3ad3,Gerónimo,Cat,Bengal,2023-01-13,68,https://placedog.net/500/400?id=10
18bb3aa3-1ed5-4fe8-9f50-fc729da60b1a,Pepito,Cat,Siamese,2012-04-15,120,https://placedog.net/500/400?id=11
86f79e46-d366-44fa-a2e7-523dab348a54,Amor,Dog,French Bulldog,2012-03-19,95,https://placedog.net/500/400?id=12
df61a206-5601-435e-ad18-71d45a700b4a,Emma,Rabbit,Rex,2021-04-11,128,https://placedog.net/500/400?id=13
a1b0c511-ccc0-4698-a399-f2b28405fe13,Adora,Cat,Bengal,2012-10-14,13,https://placedog.net/500/400?id=14
f7950701-959a-43ec-bc23-41c9e9d27e87,Saturnina,Rabbit,Dutch,2015-01-08,52,https://placedog.net/500/400?id=15
1e1dc9c9-ff57-4cef-b455-befdda9f71c5,Oriana,Dog,Bulldog,2013-09-01,186,https://placedog.net/500/400?id=16
7c0be322-02a5-4570-902a-7f82808ed16d,Wálter,Bird,Canary,2012-01-26,138,https://placedog.net/500/400?id=17
4377a439-7b39-47db-b06b-12bda0a8481b,Mateo,Cat,Bengal,2015-12-11,152,https://placedog.net/500/400?id=18
6e9d585f-053f-4c56-ba05-644ffd20918d,Miguela,Dog,Labrador Retriever,2020-06-13,53,https://placedog.net/500/400?id=19
3732c73c-3c0c-4c54-9173-4c89cb474d6c,Sebastián,Cat,Maine Coon,2013-03-31,61,https://placedog.net/500/400?id=20
669968cb-0bbf-42d4-8e60-dc72c72181e7,Andrés,Cat,Persian,2017-05-30,180,https://placedog.net/500/400?id=21
